[第1课]
にほんじん（日本人）|[名]日本人
かんこくじん（韓国人）|[名]韩国人
アメリカじん（～人）|[名]美国人
フランスじん（～人）|[名]法国人
がくせい（学生）|[名]（大）学生
せんせい（先生）|[名]老师
りゅうがくせい（留学生）|[名]留学生
きょうじゅ（教授）|[名]教授
しゃいん（社員）|[名]职员
かいしゃいん（会社員）|[名]公司职员
てんいん（店員）|[名]店员
けんしゅうせい（研修生）|[名]进修生
きぎょう（企業）|[名]企业
だいがく（大学）|[名]大学
かちょう（課長）|[名]科长
しゃちょう（社長）|[名]总经理，社长
でむかえ（出迎え）|[名]迎接
あのひと（あの人）|[名]那个人
あなた|[代]你
どうも|[副]非常，很
はい|[叹]哎，是（应答）；是的
いいえ|[叹]不，不是
あっ|[叹]哎，哎呀
り（李）|[专]李
おう（王）|[专]王
ちょう（張）|[专]张
もり（森）|[专]森
はやし（林）|[专]林
おの（小野）|[专]小野
よしだ（吉田）|[专]吉田
たなか（田中）|[专]田中
なかむら（中村）|[专]中村
たろう（太郎）|[专]太郎
キム（金）|[专]金
デュポン|[专]迪蓬
スミス|[专]史密斯
ジョンソン|[专]约翰逊
ちゅうごく（中国）|[专]中国
とうきょうだいがく（東京大学）|[专]东京大学
ペキンだいがく（北京大学）|[专]北京大学
ジェーシーきかく（ＪＣ企画）|[专]JC策划公司
ペキンりょこうしゃ（北京旅行社）|[专]北京旅行社
にっちゅうしょうじ（日中商事）|[专]日中商社

こんにちは|你好
すみません|对不起，请问
どうぞ|请
よろしくおねがいします（～お願いします）|请多关照
はじめまして|初次见面
こちらこそ|我才要（请您～）
そうてす|是（这样）
ちがいます|不是
わかりません（分かりません）|不知道
どうもすみません|实在对不起
～さん∕～ちゅん∕～君くん

[第2课]
ほん（本）|[名]书
かばん|[名]包，公文包
ノート|[名]笔记本，本子
えんぴつ（鉛筆）|[名]铅笔
かさ（傘）|名伞
くつ（靴）|名鞋
しんぶん（新聞）|[名]报纸
ざっし（雑誌）|[名]杂志
じしょ（辞書）|[名]词典
カメラ|[名]照相机
テレビ|[名]电视机
パソコン|[名]个人电脑
ラジオ|[名]收音机
でんわ（電話）|[名]电话
つくえ（机）|[名]桌子，书桌
いす|[名]椅子
かぎ|[名]钥匙，锁
とけい（時計）|[名]钟，表
てちょう（手帳）|[名]记事本
しゃしん（写真）|[名]照片
くるま（車）|[名]车
じてんしゃ（自転車）|[名]自行车
おみやげ（お土産）|[名]礼物
めいさんひん（名産品）|[名]特产，名产
シルク|[名]丝绸
ハンカチ|[名]手绢
かいしゃ（会社）|[名]公司
かた（方）|[名]（敬称）位，人
ひと（人）|[名]人
かぞく（家族）|[名]家人，家属
はは（母）|[名]（我）母亲
おかあさん（お母さん）|[名]母亲
にほんご（日本語）|[名]日语
ちゅうごくご（中国語）|[名]汉语，中文
これ|[代]这，这个
それ|[代]那，那个
あれ|[代]那，那个
どれ|[疑]哪个
なん（何）|[疑]什么
だれ|[疑]谁
どなた|[疑]哪位
この|[连体]这，这个
その|[连体]那，那个
あの|[连体]那，那个
どの|[连体]哪个
えっ|[叹]啊
わあ|[叹]哇
ええ|[叹]（应答）嗯，是
ながしま（長島）|[专]长岛
にほん（日本）|[专]日本
スワトウ|[专]汕头
ロンドン|[专]伦敦

ありがとうございます|谢谢
おいくつ|多大
何なん～∕～歳さい

[第3课]
デパート|[名]百货商店
しょくどう（食堂）|[名]食堂
ゆうびんきょく（郵便局）|[名]邮局
ぎんこう（銀行）|[名]银行
としょかん（図書館）|[名]图书馆
マンション|[名]（高级）公寓
ホテル|[名]宾馆
きっさてん（喫茶店）|[名]咖啡馆
びょういん（病院）|[名]医院
ほんや（本屋）|[名]书店
レストラン|[名]餐馆，西餐馆
ビル|[名]大楼，大厦
たてもの（建物）|[名]大楼，建筑物
うりば（売り場）|[名]柜台，出售处
トイレ|[名]厕所，盥洗室
いりぐち（入り口）|[名]入口
