[第25课]
すうがく（数学）|[名]数学
せんもん（専門）|[名]专门
じょゆう（女優）|[名]女演员
えいぎょうか（営業課）|[名]营业科
しがい（市街）|[名]市内，市街，繁华街道
どうろ（道路）|[名]道路，马路
こうつうりょう（交通量）|[名]交通流量，通行量
くうこう（空港）|[名]机场
こうそくどうろ（高速道路）|[名]高速公路
ぶひんこうじょう（部品工場）|[名]零件制造厂
エレベーター|[名]电梯
えほん（絵本）|[名]图画书，连环画
しぜん（自然）|[名]大自然
きゅうりょう（給料）|[名]工资
こんや（今夜）|[名]今天晚上
けが|[名]伤
とまります(泊まります)|[动1]住，过夜，住宿
むすびます(結びます)|[动1]连接，系
とります（取ります）|[动1]印，记下
うまれます（生まれます）|[动2]出生，诞生
とうさんします（倒産～）|[动3]倒闭，破产
じゅうたいします（渋滞～）|[动3]堵车，停滞
チエックします|[动3]确认
ゆたか（豊か）|[形2]充裕，丰富
おおきな（大きな）|[连体]大的
ちいさな（小さな）|[连体]小的
べつに（別に）|[副]并不
たい（戴）|[专]戴
しゅう（周）|[专]周
とう（唐）|[专]唐
ちゅうごくこうくう（中国航空）|[专]中国航空
てんあんはんてん（天安飯店）|[专]天安饭店
さんかんろ（三環路）|[专]三环路

このあたり|这一带，这附近
[第26课]
おおあめ（大雨）|[名]大雨
さくら（桜）|[名]樱花
かぜ（風）|[名]风
つき（月）|[名]月亮
ひょう（表）|[名]表
あくしゅ（握手）|[名]握手
しゅうかん（習慣）|[名]习惯
おじぎ（お辞儀）|[名]鞠躬
あいさつ|[名]寒暄
て（手）|[名]手
おきゃくさん（お客さん）|[名]顾客，客人
ふつう（普通）|[名]一般，普通
つぎ（次）|[名]这回，下面，下回
スーパー|[名]超市
りょうきん（料金）|[名]费用
かいひ（会費）|[名]会费
バーデン|[名]降价出售
クレジットカード|[名]信用卡
いろえんぴつ（色鉛筆）|[名]彩色铅笔
ほうさく（豊作）|[名]丰收
なか（仲）|[名]关系，友情，友谊
わすれもの（忘れ物）|[名]忘记的东西，遗忘的物品
ふせぎます（防ぎます）|[动1]防御，防备，防守
まわります（回ります）|[动1]走访；转；绕弯
はしります（走ります）|[动1]跑，奔跑
ふきます（吹きます）|[动1]吹
あげます（挙げます）|[动2]举，举起
たります（足ります）|[动2]足，够
スケッチします|[动3]素描，写生
はつげんします（発言～）|[动3]发言
ゆうしょうします（優勝～）|[动3]得冠军
ごうかくします（合格～）|[动3]及格，合格
もしかしたら|[副]也许
やくそくします（約束～）|[动3]约定
つい|[副]不知不觉地，无意中
すぐに|[副]就要，立刻，马上
ほとんど|[副]大部分，几乎
それで|[连]因此
すずき（鈴木）|[专]铃木
よう（楊）|[专]杨
かとう（加藤）|[专]加藤
ようこ（葉子）|[专]叶子
ひかりデパート（光～）|[专]阳光百货商店
ペキンタイガース（北京～）|[专]北京猛虎队＜棒球队名称＞

